                22bits,          16bits,    10bits,  0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21,index,randomhex
0100010100110110011001,1101111101010111,0001000000,___,___,___,___,___,___,___,__1,__1,__1,___,___,___,___,___,___,___,___,___,1__,26974,c9d6fc23913e09cee3a7b65cb5603782
1110101010101111000000,1111011110110110,1110000100,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,26973,c9d6fc23913e09cee3a7b65cb5603782
0101110100001110110001,1010111110100010,1010111111,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,1__,26972,c9d6fc23913e09cee3a7b65cb5603782
1000000011011010000110,1001101100010000,0101010001,___,___,___,___,___,___,___,___,___,__1,___,___,___,___,___,___,___,___,___,___,26971,c9d6fc23913e09cee3a7b65cb5603782
1100001000111111111011,0010000010101000,1011001101,___,___,___,___,___,___,___,___,___,___,___,___,___,_1_,_1_,___,___,___,___,___,26970,c9d6fc23913e09cee3a7b65cb5603782
0000001111100010000011,0101101100110011,1111001111,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_1_,1__,1__,1__,1__,1__,26969,c9d6fc23913e09cee3a7b65cb5603782
0011010101100110110100,0011100111111000,1000000100,___,___,___,___,___,___,___,___,___,___,___,___,___,_1_,_1_,___,___,___,1__,1__,26968,c9d6fc23913e09cee3a7b65cb5603782
0001101011011000000000,0010010010100010,1000000011,___,___,___,___,___,___,___,___,___,___,___,___,___,_1_,_1_,___,___,1__,1__,1__,26967,c9d6fc23913e09cee3a7b65cb5603782
1000011001000001010110,1110111100011101,1110100001,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,26966,c9d6fc23913e09cee3a7b65cb5603782
0100011000110101110100,1000011111101111,0010011000,___,___,___,___,___,___,___,___,__1,__1,___,___,___,___,___,___,___,___,___,1__,26965,c9d6fc23913e09cee3a7b65cb5603782
1000101111101111101111,1010100111001101,0010010110,___,___,___,___,___,___,___,___,__1,__1,___,___,___,___,___,___,___,___,___,___,26964,1688ae00788ec37ab61864d1d95dfc27
0001101010010000101010,0100100110101011,0100110001,___,___,___,___,___,___,___,___,___,__1,___,___,___,___,_1_,___,___,1__,1__,1__,26963,1688ae00788ec37ab61864d1d95dfc27
1000101000101000011000,1110011010001111,0100000100,___,___,___,___,___,___,___,___,___,__1,___,___,___,___,___,___,___,___,___,___,26962,1688ae00788ec37ab61864d1d95dfc27
1011110110101000100110,0000010011101100,1111111110,___,___,___,___,___,___,___,___,___,___,_1_,_1_,_1_,_1_,_1_,___,___,___,___,___,26961,1688ae00788ec37ab61864d1d95dfc27
1000100010111110010100,1101111100111110,0000110111,___,___,___,___,___,___,__1,__1,__1,__1,___,___,___,___,___,___,___,___,___,___,26960,1688ae00788ec37ab61864d1d95dfc27
0101011010000010111101,0010110011010001,0111011000,___,___,___,___,___,___,___,___,___,__1,___,___,___,_1_,_1_,___,___,___,___,1__,26959,1688ae00788ec37ab61864d1d95dfc27
0011110011110111110111,0111000001100010,1011110101,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_1_,___,___,___,1__,1__,26958,1688ae00788ec37ab61864d1d95dfc27
0010011100001111111011,1111011111100010,1011010101,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,1__,1__,26957,1688ae00788ec37ab61864d1d95dfc27
1001111010001000010011,1100111111101011,1000111110,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,26956,1688ae00788ec37ab61864d1d95dfc27
1100010110110100001010,1000110001011111,0111110100,___,___,___,___,___,___,___,___,___,__1,___,___,___,___,___,___,___,___,___,___,26955,1688ae00788ec37ab61864d1d95dfc27
0100101110011111000101,1111101000001111,0101100110,___,___,___,___,___,___,___,___,___,__1,___,___,___,___,___,___,___,___,___,1__,26954,1688ae00788ec37ab61864d1d95dfc27
1110000011101010001111,0111000110100101,0111101011,___,___,___,___,___,___,___,___,___,__1,___,___,___,___,_1_,___,___,___,___,___,26953,36188c95cdd956fbd7aa3b5b46662d95
0001000100111101111100,0111100001101110,1001100011,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_1_,___,___,1__,1__,1__,26952,36188c95cdd956fbd7aa3b5b46662d95
1001100100101010110100,0010001101110101,1110001111,___,___,___,___,___,___,___,___,___,___,___,___,___,_1_,_1_,___,___,___,___,___,26951,36188c95cdd956fbd7aa3b5b46662d95
0011011110110001010100,0100010111101101,0101001101,___,___,___,___,___,___,___,___,___,__1,___,___,___,___,_1_,___,___,___,1__,1__,26950,36188c95cdd956fbd7aa3b5b46662d95
0010100110010101100001,0000000111101111,1010100000,___,___,___,___,___,___,___,___,___,___,_1_,_1_,_1_,_1_,_1_,___,___,___,1__,1__,26949,36188c95cdd956fbd7aa3b5b46662d95
0100000010111011011101,0111011011010010,1001110110,___,___,___,___,___,___,___,___,___,___,___,___,___,___,_1_,___,___,___,___,1__,26948,36188c95cdd956fbd7aa3b5b46662d95
1000010010000101111110,0011111100110100,1011010001,___,___,___,___,___,___,___,___,___,___,___,___,___,_1_,_1_,___,___,___,___,___,26947,36188c95cdd956fbd7aa3b5b46662d95
1101000010111001010010,1011011011101111,1001111001,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,26946,36188c95cdd956fbd7aa3b5b46662d95
0011110001110110110011,1110000110100001,1110110010,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,1__,1__,26945,36188c95cdd956fbd7aa3b5b46662d95
